Episode 134:	Step: 154	Reward: -143.0
Episode 135:	Step: 75	Reward: -64.0
Episode 136:	Step: 55	Reward: -44.0
Episode 137:	Step: 102	Reward: -91.0
Episode 138:	Step: 85	Reward: -74.0
Episode 139:	Step: 116	Reward: -105.0
Episode 140:	Step: 56	Reward: -45.0
Test after Episode 140:	Average Step: 10000.0	Average Reward: -10000.0
Episode 141:	Step: 92	Reward: -81.0
Episode 142:	Step: 87	Reward: -76.0
Episode 143:	Step: 116	Reward: -105.0
Episode 144:	Step: 99	Reward: -88.0
Episode 145:	Step: 121	Reward: -110.0
Episode 146:	Step: 38	Reward: -27.0
Episode 147:	Step: 135	Reward: -124.0
Episode 148:	Step: 130	Reward: -119.0
Episode 149:	Step: 33	Reward: -22.0
Episode 150:	Step: 79	Reward: -77.0
Episode 151:	Step: 233	Reward: -222.0
Episode 152:	Step: 70	Reward: -59.0
Episode 153:	Step: 158	Reward: -147.0
Episode 154:	Step: 140	Reward: -129.0
Episode 155:	Step: 181	Reward: -170.0
Episode 156:	Step: 22	Reward: -11.0
Episode 157:	Step: 66	Reward: -55.0
Episode 158:	Step: 19	Reward: -8.0
Episode 159:	Step: 125	Reward: -114.0
Episode 160:	Step: 43	Reward: -32.0
Test after Episode 160:	Average Step: 10000.0	Average Reward: -10000.0
Episode 161:	Step: 48	Reward: -37.0
Episode 162:	Step: 178	Reward: -167.0
Episode 163:	Step: 48	Reward: -37.0
Episode 164:	Step: 37	Reward: -26.0
Episode 165:	Step: 82	Reward: -71.0
Episode 166:	Step: 4	Reward: 7.0
Episode 167:	Step: 110	Reward: -99.0
Episode 168:	Step: 54	Reward: -43.0
Episode 169:	Step: 49	Reward: -38.0
Episode 170:	Step: 125	Reward: -123.0
Episode 171:	Step: 30	Reward: -19.0
Episode 172:	Step: 174	Reward: -163.0
Episode 173:	Step: 21	Reward: -10.0
Episode 174:	Step: 134	Reward: -123.0
Episode 175:	Step: 82	Reward: -71.0
Episode 176:	Step: 69	Reward: -58.0
Episode 177:	Step: 14	Reward: -3.0
Episode 178:	Step: 87	Reward: -76.0
Episode 179:	Step: 91	Reward: -80.0
Episode 180:	Step: 55	Reward: -44.0
Test after Episode 180:	Average Step: 10000.0	Average Reward: -10000.0
Episode 181:	Step: 72	Reward: -70.0
Episode 182:	Step: 76	Reward: -65.0
Episode 183:	Step: 20	Reward: -9.0
Episode 184:	Step: 66	Reward: -55.0
Episode 185:	Step: 35	Reward: -24.0
Episode 186:	Step: 68	Reward: -57.0
Episode 187:	Step: 50	Reward: -39.0
Episode 188:	Step: 27	Reward: -16.0
Episode 189:	Step: 15	Reward: -4.0
Episode 190:	Step: 108	Reward: -97.0
Episode 191:	Step: 113	Reward: -102.0
Episode 192:	Step: 71	Reward: -60.0
Episode 193:	Step: 105	Reward: -94.0
Episode 194:	Step: 29	Reward: -18.0
Episode 195:	Step: 151	Reward: -140.0
Episode 196:	Step: 91	Reward: -80.0
Episode 197:	Step: 81	Reward: -70.0
Episode 198:	Step: 112	Reward: -101.0
Episode 199:	Step: 72	Reward: -61.0
Episode 200:	Step: 54	Reward: -43.0
Test after Episode 200:	Average Step: 10000.0	Average Reward: -10000.0
Episode 201:	Step: 12	Reward: -1.0
Episode 202:	Step: 15	Reward: -4.0
Episode 203:	Step: 80	Reward: -69.0
Episode 204:	Step: 18	Reward: -7.0
Episode 205:	Step: 60	Reward: -49.0
Episode 206:	Step: 158	Reward: -147.0
Episode 207:	Step: 19	Reward: -8.0
Episode 208:	Step: 101	Reward: -90.0
Episode 209:	Step: 82	Reward: -71.0
Episode 210:	Step: 103	Reward: -101.0
Episode 211:	Step: 38	Reward: -27.0
Episode 212:	Step: 85	Reward: -74.0
Episode 213:	Step: 30	Reward: -19.0
Episode 214:	Step: 76	Reward: -65.0
Episode 215:	Step: 71	Reward: -60.0
Episode 216:	Step: 146	Reward: -135.0
Episode 217:	Step: 55	Reward: -44.0
Episode 218:	Step: 2	Reward: 9.0
Episode 219:	Step: 21	Reward: -10.0
Episode 220:	Step: 60	Reward: -49.0
Test after Episode 220:	Average Step: 10000.0	Average Reward: -10000.0
Episode 221:	Step: 131	Reward: -120.0
Episode 222:	Step: 11	Reward: 0.0
Episode 223:	Step: 50	Reward: -39.0
Episode 224:	Step: 22	Reward: -11.0
Episode 225:	Step: 57	Reward: -46.0
Episode 226:	Step: 72	Reward: -61.0
Episode 227:	Step: 68	Reward: -57.0
Episode 228:	Step: 92	Reward: -81.0
Episode 229:	Step: 102	Reward: -91.0
Episode 230:	Step: 110	Reward: -99.0
Episode 231:	Step: 190	Reward: -188.0
Episode 232:	Step: 24	Reward: -13.0
Episode 233:	Step: 21	Reward: -10.0
Episode 234:	Step: 103	Reward: -92.0
Episode 235:	Step: 61	Reward: -50.0
Episode 236:	Step: 47	Reward: -36.0
Episode 237:	Step: 125	Reward: -114.0
Episode 238:	Step: 26	Reward: -15.0
Episode 239:	Step: 37	Reward: -26.0
Episode 240:	Step: 78	Reward: -67.0
Test after Episode 240:	Average Step: 10000.0	Average Reward: -10000.0
Episode 241:	Step: 86	Reward: -75.0
Episode 242:	Step: 76	Reward: -65.0
Episode 243:	Step: 2	Reward: 9.0
Episode 244:	Step: 58	Reward: -47.0
Episode 245:	Step: 46	Reward: -35.0
Episode 246:	Step: 96	Reward: -85.0
Episode 247:	Step: 55	Reward: -44.0
Episode 248:	Step: 55	Reward: -44.0
Episode 249:	Step: 54	Reward: -43.0
Episode 250:	Step: 7	Reward: 4.0
Episode 251:	Step: 20	Reward: -9.0
Episode 252:	Step: 112	Reward: -101.0
Episode 253:	Step: 4	Reward: 7.0
Episode 254:	Step: 3	Reward: 8.0
Episode 255:	Step: 130	Reward: -119.0
